412,16,Xã Hiền Ninh,105.7937644,21.25833325
415,16,Xã Tân Dân,105.7337759,21.2560995
418,16,Xã Tiên Dược,105.8504447,21.2482885
421,16,Xã Việt Long,105.9201633,21.25182695
424,16,Xã Xuân Giang,105.8952645,21.24529975
427,16,Xã Mai Đình,105.8333431,21.2249542
430,16,Xã Đức Hoà,105.8785871,21.2295167
433,16,Xã Thanh Xuân,105.7672771,21.2241947
436,16,Xã Đông Xuân,105.868964,21.21578045
439,16,Xã Kim Lũ,105.9082456,21.20963675
442,16,Xã Phú Cường,105.7885768,21.20532335
445,16,Xã Phú Minh,105.8135718,21.20245715
448,16,Xã Phù Lỗ,105.8532278,21.2016464
451,16,Xã Xuân Thu,105.8953535,21.1957582
454,17,Thị trấn Đông Anh,105.8610924,21.1373774
457,17,Xã Xuân Nộn,,
460,17,Xã Thuỵ Lâm,105.8960511,21.1728601
463,17,Xã Bắc Hồng,105.8034708,21.168757
466,17,Xã Nguyên Khê,105.8204312,21.1781004
469,17,Xã Nam Hồng,105.7876304,21.1682916
472,17,Xã Tiên Dương,105.8355655,21.1502279
475,17,Xã Vân Hà,105.9186019,21.1432893
478,17,Xã Uy Nỗ,,
481,17,Xã Vân Nội,105.8158703,21.1521723
484,17,Xã Liên Hà,,
487,17,Xã Việt Hùng,105.875509,21.1404443
490,17,Xã Kim Nỗ,,
493,17,Xã Kim Chung,105.7691046,21.1373973
496,17,Xã Dục Tú,,
499,17,Xã Đại Mạch,105.7579486,21.1274964
502,17,Xã Vĩnh Ngọc,105.8251653,21.1152806
505,17,Xã Cổ Loa,105.8733527,21.1199756
508,17,Xã Hải Bối,105.802166,21.1108262
511,17,Xã Xuân Canh,105.8549715,21.09369415
514,17,Xã Võng La,105.7617368,21.1160267
517,17,Xã Tàm Xá,105.8438085,21.1110154
520,17,Xã Mai Lâm,105.8834178,21.1005587
523,17,Xã Đông Hội,105.8518553,21.13968625
526,18,Thị trấn Yên Viên,105.9190616,21.086578
529,18,Xã Yên Thường,105.9173073,21.10421585
532,18,Xã Yên Viên,105.9200608,21.07877345
535,18,Xã Ninh Hiệp,105.9508794,21.07845165
538,18,Xã Đình Xuyên,105.9361003,21.0770003
541,18,Xã Dương Hà,105.9338393,21.0641847
544,18,Xã Phù Đổng,105.9602789,21.05605395
547,18,Xã Trung Mầu,105.9867474,21.059557
550,18,Xã Lệ Chi,106.0028314,21.039526
553,18,Xã Cổ Bi,105.9407692,21.03162955
556,18,Xã Đặng Xá,105.9571867,21.0314557
559,18,Xã Phú Thị,105.9731225,21.0259381
562,18,Xã Kim Sơn,105.9940954,21.0264624
565,18,Thị trấn Trâu Quỳ,105.9380275,21.0097832
